dataset_name,dataset_size,build_time_s,index_size_mb,mean_latency_us,p95_latency_us,throughput_qps,avg_page_access
lognormal,1000000,1094.700,38.600,1.731,N/A,N/A,N/A
lognormal,10000000,13814.700,403.000,4.319,N/A,N/A,N/A
lognormal,30000000,46579.151,1255.269,6.792,10.628,147223,2.0011
lognormal,60000000,111522.132,2554.403,7.878,11.904,126943,2.0004
