dataset_size,build_time_s,index_size_mb,mean_latency_us,p95_latency_us,throughput_qps,avg_page_access
1000000,1022.540,48.513,2.143,3.773,466537,2.8675
2500000,2732.865,117.879,2.996,5.857,333819,2.4047
4542805,5269.969,223.731,3.508,6.673,285064,2.2678
